figmaVariableName,mode,value,type,alias,defaultMode
palettes/neutral/500/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/neutral/600/color/tone,Light,tokens/colors/gray/600,COLOR,true,true
palettes/neutral/600/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/neutral/700/color/tone,Light,tokens/colors/gray/700,COLOR,true,true
palettes/neutral/700/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/neutral/800/color/tone,Light,tokens/colors/gray/800,COLOR,true,true
palettes/neutral/800/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/neutral/900/color/tone,Light,tokens/colors/gray/900,COLOR,true,true
palettes/neutral/900/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/neutral/1000/color/tone,Light,tokens/colors/gray/1000,COLOR,true,true
palettes/neutral/1000/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/neutral/default,Light,brand/palettes/neutral/200/color/tone,STRING,true,true
palettes/neutral/000/color/tone,Light,tokens/colors/gray/000,COLOR,true,true
palettes/neutral/000/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/neutral/050/color/tone,Light,tokens/colors/gray/050,COLOR,true,true
palettes/neutral/050/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-1/100/color/tone,Light,tokens/colors/salmon/100,COLOR,true,true
palettes/palette-1/100/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-1/200/color/tone,Light,tokens/colors/salmon/200,COLOR,true,true
palettes/palette-1/200/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-1/300/color/tone,Light,tokens/colors/salmon/300,COLOR,true,true
palettes/palette-1/300/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-1/400/color/tone,Light,tokens/colors/salmon/400,COLOR,true,true
palettes/palette-1/400/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/500/color/tone,Light,tokens/colors/salmon/500,COLOR,true,true
palettes/palette-1/500/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/600/color/tone,Light,tokens/colors/salmon/600,COLOR,true,true
palettes/palette-1/600/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/700/color/tone,Light,tokens/colors/salmon/700,COLOR,true,true
palettes/palette-1/700/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/800/color/tone,Light,tokens/colors/salmon/800,COLOR,true,true
palettes/palette-1/800/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/900/color/tone,Light,tokens/colors/salmon/900,COLOR,true,true
palettes/palette-1/900/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/1000/color/tone,Light,tokens/colors/salmon/1000,COLOR,true,true
palettes/palette-1/1000/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-1/default,Light,brand/palettes/palette-1/400/color/tone,STRING,true,true
palettes/palette-1/000/color/tone,Light,tokens/colors/salmon/000,COLOR,true,true
palettes/palette-1/000/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-1/050/color/tone,Light,tokens/colors/salmon/050,COLOR,true,true
palettes/palette-1/050/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-2/100/color/tone,Light,tokens/colors/cornflower/100,COLOR,true,true
palettes/palette-2/100/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-2/200/color/tone,Light,tokens/colors/cornflower/200,COLOR,true,true
palettes/palette-2/200/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-2/300/color/tone,Light,tokens/colors/cornflower/300,COLOR,true,true
palettes/palette-2/300/color/on-tone,Light,brand/palettes/core-colors/black/on-tone,COLOR,true,true
palettes/palette-2/400/color/tone,Light,tokens/colors/cornflower/400,COLOR,true,true
palettes/palette-2/400/color/on-tone,Light,brand/palettes/core-colors/white/on-tone,COLOR,true,true
palettes/palette-2/500/color/tone,Light,tokens/colors/cornflower/500,COLOR,true,true
