figmaVariableName,mode,value,type,alias,defaultMode
components/avatar/variants/styles/text/variants/solid/properties/colors/border-color,0,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
components/avatar/variants/styles/text/variants/solid/properties/colors/border-color,1,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/text/variants/solid/properties/colors/border-color,2,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/text/variants/solid/properties/colors/border-color,3,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/background,0,brand/palettes/core-colors/interactive/default/tone,COLOR,true,true
components/avatar/variants/styles/icon/variants/solid/properties/colors/background,1,brand/palettes/core-colors/interactive/default/tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/background,2,brand/palettes/core-colors/interactive/default/tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/background,3,brand/palettes/core-colors/interactive/default/tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/icon-color,0,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
components/avatar/variants/styles/icon/variants/solid/properties/colors/icon-color,1,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/icon-color,2,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/icon-color,3,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/border-color,0,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,true
components/avatar/variants/styles/icon/variants/solid/properties/colors/border-color,1,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/border-color,2,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/icon/variants/solid/properties/colors/border-color,3,brand/palettes/core-colors/interactive/default/on-tone,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/background,0,"rgba(0,0,0,0)",COLOR,false,true
components/avatar/variants/styles/image/properties/colors/background,1,brand/layers/layer-1/properties/surface,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/background,2,brand/layers/layer-2/properties/surface,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/background,3,brand/layers/layer-3/properties/surface,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/border-color,0,brand/palettes/neutral/200/color/tone,COLOR,true,true
components/avatar/variants/styles/image/properties/colors/border-color,1,brand/layers/layer-1/properties/border-color,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/border-color,2,brand/layers/layer-2/properties/border-color,COLOR,true,false
components/avatar/variants/styles/image/properties/colors/border-color,3,brand/layers/layer-3/properties/border-color,COLOR,true,false
components/avatar/variants/sizes/small/properties/size,0,32,FLOAT,false,true
components/avatar/variants/sizes/small/properties/size,1,32,FLOAT,false,false
